Year,Winning Team,Score,Total Offensive Plays,Rushing Yards,Passing Yards,Penalities,Touchdowns,Field Goals
1967,Green  Bay Packers,35,61,133,228,4,5,0
1968,Green  Bay Packers,33,69,162,160,1,3,4
1969,New York Jets,16,74,142,195,5,1,3
1970,Kansas City Cheifs,23,62,151,122,4,2,3
1971,Baltimore Colts,16,56,69,260,4,2,1
1972,Dallas Cowboys,24,69,252,100,3,3,1
1973,Miami Dolphins,14,50,184,69,2,2,0
1974,Miami Dolphins,24,61,196,63,1,3,1
1975,Pittsburg Steelers,16,57,249,84,8,2,0
1976,Pittsburg Steelers,21,67,149,190,0,2,2
1977,Oakland Raiders,32,73,266,163,4,4,2
1978,Dallas Cowboys,27,71,143,182,12,3,2
1979,Pittsburg Steelers,35,58,66,291,5,5,0
1980,Pittsburg Steelers,31,58,84,309,6,4,1
1981,Oakland Raiders,27,56,117,260,5,3,2
1982,San Francisco 49ers,26,63,127,148,8,2,4
1983,Washington Redskins,27,78,276,124,5,3,2
1984,Los Angels Raiders,38,60,231,154,7,5,1
1985,San Francisco 49ers,38,76,211,326,2,5,1
1986,Chicago Bears,46,76,167,241,7,5,3
1987,New York Giants,39,64,136,263,6,5,1
1988,washington Redskins,42,72,280,322,6,6,0
1989,san Francisco 49ers,20,67,112,341,4,2,2
1990,San Francisco 49ers,55,77,144,317,4,8,0
1991,New York Giants,20,73,172,214,5,2,2
1992,Washington Redskins,37,62,125,292,2,4,3
1993,Dallas Cowboys,52,76,137,276,4,2,1
1994,Dallas Cowboys,30,53,154,204,0,3,3
1995,San Fransisco 49ers,49,75,167,287,1,3,1
1996,Dallas Cowboys,27,56,168,198,0,3,2
1997,Green Bay Packers,35,64,143,214,1,3,0
1998,Denver  Pioneers,31,73,187,255,3,3,1
1999,Denver  Pioneers,34,71,169,407,0,4,2
2000,St Louis Cardinals,23,68,137,365,4,2,3
2001,Baltimore Colts  ,34,64,243,133,1,1,2
2002,New England Patriots,20,71,183,154,3,2,2
2003,Tampa Bay ,48,78,174,388,1,0,1
2004,New England Patriots,32,59,158,179,2,0,1
2005,New England Patriots,24,70,207,278,1,1,1
2006,Pittsburgh Steelers,21,64,188,267,0,3,1
2007,Indianapolis Colts,29,67,199,190,2,3,2
2008,NY Giants,17,79,208,289,1,1,1
2009,Pittsburg Steelers,27,68,179,378,1,2,2
2010,NewOrelands Saints,31,73,141,258,1,2,1
2011,Green Bay Packers,31,70,194,299,2,1,1
2012,NY Giants,21,68,168,149,1,1,2
2013,Baltimore Ravens,34,58,119,287,2,1,1
2014,Seattle SeaHawks,43,64,168,206,1,2,3
2015,New England Patriots,28,73,141,328,1,4,1
